Corrected Customer Question,Corrected Frappe Query,Query Length,Category,Conversational Question
"Retrieve the first 20 Task records where status is Lead, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""status"": ""Lead""}, fields=[""priority"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",166,Complex,"Can you fetch the first 20 Task records where status is Lead, sorted by transaction_date in descending order, starting from the 10th record."
"Retrieve the first 20 Purchase Order records where transaction_date is Supervisor, sorted by designation in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""transaction_date"": ""Supervisor""}, fields=[""status"", ""designation""], order_by=""designation desc"", start=10, page_length=20, as_list=True)",180,Complex,"Can you fetch the first 20 Purchase Order records where transaction_date is Supervisor, sorted by designation in descending order, starting from the 10th record."
Get a list of all Attendance records.,"frappe.get_list(""Attendance"", fields=[""name""])",46,Simple,Can you list all Attendance records.
Find all Sales Order records placed between 2023-06-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Sales Order"", filters={[""subject"", ""between"", [""2023-06-01"", ""2024-06-30""})",92,Medium,Find all Sales Order records placed between 2023-06-01 and 2024-06-30 (both inclusive).
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
"Retrieve the first 20 Purchase Order records where transaction_date is Manager, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""transaction_date"": ""Manager""}, fields=[""count"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",170,Complex,"Can you fetch the first 20 Purchase Order records where transaction_date is Manager, sorted by priority in descending order, starting from the 10th record."
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
"Retrieve the first 20 Stock Entry records where status is Supervisor, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""status"": ""Supervisor""}, fields=[""transaction_date"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",171,Complex,"Can you fetch the first 20 Stock Entry records where status is Supervisor, sorted by priority in descending order, starting from the 10th record."
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get a list of all Warehouse Transfer records.,"frappe.get_list(""Warehouse Transfer"", fields=[""name""])",54,Simple,Can you list all Warehouse Transfer records.
Find all Stock Entry records where status contains Manager.,"frappe.get_list(""Stock Entry"", filters={""status"": [""like"", ""%Manager%""]})",73,Medium,Find all Stock Entry records where status contains Manager.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Count the number of Purchase Order records grouped by their count.,"frappe.get_list(""Purchase Order"", fields=[""count(""""""name"""""") as count"", ""count""], group_by=""count"")",99,Medium,Count the number of Purchase Order records grouped by their count.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve the first 20 Task records where transaction_date is Supervisor, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""transaction_date"": ""Supervisor""}, fields=[""status"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",164,Complex,"Can you fetch the first 20 Task records where transaction_date is Supervisor, sorted by priority in descending order, starting from the 10th record."
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve the first 20 Purchase Order records where priority is Supervisor, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""priority"": ""Supervisor""}, fields=[""status"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",162,Complex,"Can you fetch the first 20 Purchase Order records where priority is Supervisor, sorted by status in descending order, starting from the 10th record."
Get a list of all Supplier Compliance records.,"frappe.get_list(""Supplier Compliance"", fields=[""name""])",55,Simple,Can you list all Supplier Compliance records.
Find all Employee records where count contains Director.,"frappe.get_list(""Employee"", filters={""count"": [""like"", ""%Director%""]})",70,Medium,Find all Employee records where count contains Director.
"Retrieve a list of all Issue records where creation is Approved, fetching status and status, sorted by status in descending order.","frappe.get_list(""Issue"", filters={""creation"": ""Approved""}, fields=[""status"", ""status""], order_by=""status desc"")",111,Medium,"Can you fetch a list of all Issue records where creation is Approved, fetching status and status, sorted by status in descending order."
"Retrieve the first 20 Employee records where priority is Lead, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""priority"": ""Lead""}, fields=[""subject"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",155,Complex,"Can you fetch the first 20 Employee records where priority is Lead, sorted by priority in descending order, starting from the 10th record."
Get a list of all Holiday List records.,"frappe.get_list(""Holiday List"", fields=[""name""])",48,Simple,Can you list all Holiday List records.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve a list of all Expense Claim records where subject is Approved, fetching creation and subject, sorted by subject in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Approved""}, fields=[""creation"", ""subject""], order_by=""subject desc"")",122,Complex,"Can you fetch a list of all Expense Claim records where subject is Approved, fetching creation and subject, sorted by subject in descending order."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
"Retrieve the first 20 Sales Order records where priority is Manager, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""priority"": ""Manager""}, fields=[""priority"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",156,Complex,"Can you fetch the first 20 Sales Order records where priority is Manager, sorted by count in descending order, starting from the 10th record."
